YEAR,QUARTER,MONTH,WEEK,DAY,DAY_OF_WEEK,IS_WEEKEND,SEASON,HOUR,TIME_OF_DAY,PART,CRIME_TYPE,CRIME_CATEGORY,SEVERITY,ARREST,QUALITY_OF_LIFE,ADDRESS,LAT,LON,DATEEND
2023,1,2,6,10,Friday,False,Winter,23.0,Evening (18-23),Part1,ROBBERY,Violent,4,False,False,100 DIDAMA ST,43.046533,-76.10797,2023-02-10
2023,2,6,25,20,Tuesday,False,Summer,21.0,Evening (18-23),Part1,AGGRAVATED ASSAULT,Violent,4,True,False,100 DUDLEY ST,43.037012,-76.168771,2023-06-20
2023,3,7,27,8,Saturday,True,Summer,18.0,Evening (18-23),Part1,LARCENY,Property,2,True,False,1 DESTINY USA DR,43.067961,-76.173723,2023-07-08
2023,3,8,32,10,Thursday,False,Summer,20.0,Evening (18-23),Part1,ROBBERY,Violent,4,False,False,100 DUDLEY ST,43.037012,-76.168771,2023-08-10
2023,3,9,36,6,Wednesday,False,Fall,17.0,Afternoon (12-17),Part1,BURGLARY,Property,3,True,False,100 DYER CT,43.040366,-76.142317,2023-09-06
2023,4,10,41,14,Saturday,True,Fall,0.0,Night (0-5),Part1,MV THEFT,Property,2,False,False,100 DURSTON AV,43.063026,-76.126817,2023-10-14
2023,1,3,11,19,Sunday,True,Spring,0.0,Night (0-5),Part1,LARCENY,Property,2,False,False,0 W ONONDAGA ST & S CLINTON ST,43.043643,-76.153266,2023-03-19
2023,4,10,41,11,Wednesday,False,Fall,5.0,Night (0-5),Part1,LARCENY,Property,2,False,False,100 DYER CT,43.040366,-76.142317,2023-10-11
2023,3,8,32,10,Thursday,False,Summer,1.0,Night (0-5),Part1,LARCENY,Property,2,False,False,100 DYER CT,43.040366,-76.142317,2023-08-10
2023,4,10,41,15,Sunday,True,Fall,1.0,Night (0-5),Part1,MV THEFT,Property,2,False,False,0 WHITTIER AV & BURNET PARK DR,43.044282,-76.184604,2023-10-15
2023,3,9,38,23,Saturday,True,Fall,21.0,Evening (18-23),Part1,LARCENY,Property,2,False,False,100 E  BISSELL ST,43.024089,-76.15671,2023-09-23
2023,4,11,46,16,Thursday,False,Fall,15.0,Afternoon (12-17),Part1,BURGLARY,Property,3,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-11-16
2023,1,1,4,24,Tuesday,False,Winter,16.0,Afternoon (12-17),Part1,MV THEFT,Property,2,False,False,100 E  BISSELL ST,43.024089,-76.15671,2023-01-24
2023,2,5,19,11,Thursday,False,Spring,15.0,Afternoon (12-17),Part1,AGGRAVATED ASSAULT,Violent,4,False,False,0 W FAYETTE ST & S WEST ST,43.048737,-76.158918,2023-05-11
2023,2,6,25,20,Tuesday,False,Summer,13.0,Afternoon (12-17),Part1,LARCENY,Property,2,True,False,100 E  JEFFERSON ST,43.047005,-76.152163,2023-06-20
2023,2,6,26,30,Friday,False,Summer,19.0,Evening (18-23),Part1,LARCENY,Property,2,False,False,1 DESTINY USA DR,43.067961,-76.173723,2023-06-30
2023,1,2,7,18,Saturday,True,Winter,11.0,Morning (6-11),Part1,LARCENY,Property,2,False,False,100 E  WATER ST,43.050487,-76.15211,2023-02-18
